,Player,Team,Age,Games Played,Games Started,Passes Completed,Passes Attempted,Completion Percentage,Passing Yards,Passing Touchdowns,Touchdown Percentage,Interceptions,Interceptions Percentage,Longest Pass,Yards Per Attempt,Adjusted Yards Per Attempt,Yards per Completion,Yards Per Game,Passer Rating
0,Tom Brady,New England Patriots,28,16,16,334,530,63.0,4110,26,4.9,14,2.6,71,7.8,7.5,12.3,256.9,92.3
1,Trent Green,Kansas City Chiefs,35,16,16,317,507,62.5,4014,17,3.4,10,2.0,60,7.9,7.7,12.7,250.9,90.1
2,Brett Favre,Green Bay Packers,36,16,16,372,607,61.3,3881,20,3.3,29,4.8,59,6.4,4.9,10.4,242.6,70.9
3,Carson Palmer,Cincinnati Bengals,26,16,16,345,509,67.8,3836,32,6.3,12,2.4,70,7.5,7.7,11.1,239.8,101.1
4,Eli Manning,New York Giants,24,16,16,294,557,52.8,3762,24,4.3,17,3.1,78,6.8,6.2,12.8,235.1,75.9
5,Kerry Collins,Oakland Raiders,33,15,15,302,565,53.5,3759,20,3.5,12,2.1,79,6.7,6.4,12.4,250.6,77.3
6,Peyton Manning,Indianapolis Colts,29,16,16,305,453,67.3,3747,28,6.2,10,2.2,80,8.3,8.5,12.3,234.2,104.1
7,Drew Bledsoe,Dallas Cowboys,33,16,16,300,499,60.1,3639,23,4.6,17,3.4,71,7.3,6.7,12.1,227.4,83.7
8,Drew Brees,San Diego Chargers,26,16,16,323,500,64.6,3576,24,4.8,15,3.0,54,7.2,6.8,11.1,223.5,89.2
9,Matt Hasselbeck,Seattle Seahawks,30,16,16,294,449,65.5,3459,24,5.3,9,2.0,56,7.7,7.9,11.8,216.2,98.2
10,Jake Delhomme,Carolina Panthers,30,16,16,262,435,60.2,3421,24,5.5,16,3.7,80,7.9,7.3,13.1,213.8,88.1
11,Jake Plummer,Denver Broncos,31,16,16,277,456,60.7,3366,18,3.9,7,1.5,72,7.4,7.5,12.2,210.4,90.2
12,Steve McNair,Tennessee Titans,32,14,14,292,476,61.3,3161,16,3.4,11,2.3,57,6.6,6.3,10.8,225.8,82.4
13,Mark Brunell,Washington Redskins,35,16,15,262,454,57.7,3050,23,5.1,10,2.2,78,6.7,6.7,11.6,190.6,85.9
14,Gus Frerotte,Miami Dolphins,34,16,15,257,494,52.0,2996,18,3.6,13,2.6,60,6.1,5.6,11.7,187.3,71.9
15,Aaron Brooks,New Orleans Saints,29,13,13,240,431,55.7,2882,13,3.0,17,3.9,66,6.7,5.5,12.0,221.7,70.0
